name,sold,price,rating
,349 Sold( 106 )Tangerang City,ESQA Minimalist Blurring Serum Skin Tint SPF 35 PA++,
,2.6K Sold( 726 )Tangerang City,ESQA Goddess Eyeshadow Palette,
,4.6K Sold( 1351 )Tangerang City,ESQA Flawless Cushion Serum SPF 50+ PA+++ - Satin,
,465 Sold( 118 )Tangerang City,ESQA Bronzer,
,2.0K Sold( 553 )Tangerang City,ESQA Trio Goddess Cheek Palette,
,2.6K Sold( 726 )Tangerang City,ESQA Lip Gloss,
,246 Sold( 96 )Tangerang City,ESQA Glow Pop Serum Lip Balm,
,1.0K Sold( 323 )Tangerang City,ESQA Wonder Crush Serum Liquid Blush,
,7.4K Sold( 2213 )Tangerang City,ESQA Flawless Liquid Concealer,
,84 Sold( 26 )Tangerang City,[NEW LAUNCH] ESQA Flawless Cushion Serum SPF 50+ PA++++ Velvet Matte,
,397 Sold( 143 )Tangerang City,ESQA Flawless Liquid Mini Corrector,
,33 Sold( 17 )Tangerang City,ESQA Refill Cloud Kiss Powder Lipstick,
,415 Sold( 105 )Tangerang City,ESQA Primer Serum,
,875 Sold( 363 )Tangerang City,ESQA Glaze Eyeshadow Trio,
,159 Sold( 59 )Tangerang City,ESQA Cloud Kiss Refillable Powder Lipstick,
,6.5K Sold( 2217 )Tangerang City,ESQA Flawless Liquid Mini Concealer,
,8.0K Sold( 2236 )Tangerang City,ESQA Flawless Powder Foundation,
,2.8K Sold( 828 )Tangerang City,ESQA Flawless Setting Powder,
,281 Sold( 109 )Tangerang City,ESQA Supreme Hybrid Sun Stick SPF 50+ PA++++,
,1.0K Sold( 235 )Tangerang City,ESQA Flawless Liquid Corrector,
,1.1K Sold( 404 )Tangerang City,ESQA Slick Drip Serum Lip Tint,
,201 Sold( 61 )Tangerang City,ESQA Minimalist Serum Concealer,
,Tangerang City,ESQA Pocket Perfect Face Palette,
,6 SoldTangerang City,[NEW LAUNCH] - ESQA Bitty Balm Stick Blush,
,292 Sold( 110 )Tangerang City,ESQA Blurred Haze Velvet Lip Tint,
,1.0K Sold( 286 )Tangerang City,ESQA Mist Universe Setting Spray,
,1.7K Sold( 498 )Tangerang City,ESQA Blush On,
,39 Sold( 12 )Tangerang City,ESQA Minimalist Eye Tint Corrector,
,725 Sold( 215 )Tangerang City,ESQA Freeze Tinted Brow Mascara,
,1.5K Sold( 508 )Tangerang City,ESQA Brow Pomade Pencil,
,178 Sold( 65 )Tangerang City,ESQA Dream Lash Serum Mascara,
,1.5K Sold( 406 )Tangerang City,ESQA Waterproof Intense Eyeliner,
,796 Sold( 181 )Tangerang City,ESQA Brow Stroke Pencil,
