name,adress,image_url,promo,href,menu
Trà Sữa Maycha - Tân Thắng,"137 Tân Thắng, P. Sơn Kỳ, Tân Phú, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hnq0rlzq283@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/tra-sua-maycha-tan-thang,"{'Combo Blooming 2': '139.000đ', 'Combo Blooming 3': '139.000đ', 'Combo Blooming 1': '139.000đ', 'Combo Blooming 4': '139.000đ', 'Combo Blooming 5': '139.000đ', 'Trà Sữa Kem Trứng Khè': '24.500đ', 'MỌI VẤN ĐỀ LIÊN QUAN ĐẾN SẢN PHẨM ANH/CHỊ LIÊN HỆ : 0878808808': '1đ'}"
Trà Sữa Maycha - Tân Thắng,"137 Tân Thắng, P. Sơn Kỳ, Tân Phú, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hnq0rlzq283@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/tra-sua-maycha-tan-thang,"{'Combo Blooming 2': '139.000đ', 'Combo Blooming 3': '139.000đ', 'Combo Blooming 1': '139.000đ', 'Combo Blooming 4': '139.000đ', 'Combo Blooming 5': '139.000đ', 'Trà Sữa Kem Trứng Khè': '24.500đ', 'MỌI VẤN ĐỀ LIÊN QUAN ĐẾN SẢN PHẨM ANH/CHỊ LIÊN HỆ : 0878808808': '1đ'}"
Trà Sữa Maycha - Tân Thắng,"137 Tân Thắng, P. Sơn Kỳ, Tân Phú, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hnq0rlzq283@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/tra-sua-maycha-tan-thang,"{'Combo Blooming 2': '139.000đ', 'Combo Blooming 3': '139.000đ', 'Combo Blooming 1': '139.000đ', 'Combo Blooming 4': '139.000đ', 'Combo Blooming 5': '139.000đ', 'Trà Sữa Kem Trứng Khè': '24.500đ', 'MỌI VẤN ĐỀ LIÊN QUAN ĐẾN SẢN PHẨM ANH/CHỊ LIÊN HỆ : 0878808808': '1đ'}"
Trà Sữa Maycha - Tân Thắng,"137 Tân Thắng, P. Sơn Kỳ, Tân Phú, TP. HCM",,Flash Sale,,{}
Trà Sữa MayCha - Quốc Lộ 50,"A30/18 Quốc Lộ 50, Ấp 1, X. Bình Hưng, Bình Chánh, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hna7yqekk85@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/tra-sua-maycha-quoc-lo-50,"{'Combo Blooming 1': '139.000đ', 'Combo Blooming 3': '139.000đ', 'Combo Blooming 2': '139.000đ', 'Combo Blooming 5': '139.000đ', 'Combo Blooming 4': '139.000đ', 'Trà Sữa Kem Trứng Khè': '24.500đ', 'Bánh Tráng Phơi Sương Muối Sa Tế Tỏi ': '20.000đ', 'Bánh Tráng X-Ke': '10.000đ'}"
Trà Sữa MayCha - Quốc Lộ 50,"A30/18 Quốc Lộ 50, Ấp 1, X. Bình Hưng, Bình Chánh, TP. HCM",,Flash Sale,,{}
Trà Sữa Maycha - 849 Tỉnh lộ 10,"849 Tỉnh lộ 10, Khu phố 1, P. Bình Trị Đông B, Bình Tân, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hnbcr2q2q26@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/tra-sua-maycha-849-tinh-lo-10,"{'Combo Blooming 1': '139.000đ', 'Combo Blooming 2': '139.000đ', 'Combo Blooming 5': '139.000đ', 'Combo Blooming 3': '139.000đ', 'Combo Blooming 4': '139.000đ', 'Trà Sữa Kem Trứng Khè': '24.500đ', 'MỌI VẤN ĐỀ LIÊN QUAN ĐẾN SẢN PHẨM ANH/CHỊ LIÊN HỆ : 0878808808': '1đ'}"
Trà Sữa Maycha - 849 Tỉnh lộ 10,"849 Tỉnh lộ 10, Khu phố 1, P. Bình Trị Đông B, Bình Tân, TP. HCM",,Flash Sale,,{}
Trà Sữa Maycha - Bình Phú,"165 Bình Phú, P, 11, Quận 6, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hnm3jcpc40c@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/tra-sua-maycha-binh-phu,"{'Combo Blooming 3': '139.000đ', 'Combo Blooming 1': '139.000đ', 'Combo Blooming 2': '139.000đ', 'Combo Blooming 5': '139.000đ', 'Combo Blooming 4': '139.000đ', 'Trà Sữa Kem Trứng Khè': '24.500đ', 'MỌI VẤN ĐỀ LIÊN QUAN ĐẾN SẢN PHẨM ANH/CHỊ LIÊN HỆ : 0878808808': '1đ'}"
Trà Sữa Maycha - Bình Phú,"165 Bình Phú, P, 11, Quận 6, TP. HCM",,Flash Sale,,{}
Trà Sữa Maycha - Nguyễn Duy Trinh,"161 Đ. Nguyễn Duy Trinh, P.Bình Trưng Tây, Thành Phố Thủ Đức, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hnsde65im55@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/tra-sua-maycha-nguyen-duy-trinh,"{'Combo Blooming 4': '139.000đ', 'Combo Blooming 1': '139.000đ', 'Combo Blooming 3': '139.000đ', 'Combo Blooming 2': '139.000đ', 'Combo Blooming 5': '139.000đ', 'Trà Sữa Kem Trứng Khè': '24.500đ', 'MỌI VẤN ĐỀ LIÊN QUAN ĐẾN SẢN PHẨM ANH/CHỊ LIÊN HỆ : 0878808808': '1đ'}"
Trà Sữa Maycha - Nguyễn Duy Trinh,"161 Đ. Nguyễn Duy Trinh, P.Bình Trưng Tây, Thành Phố Thủ Đức, TP. HCM",,Flash Sale,,{}
