name,address,image_url,promo,href,menu
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Phạm Văn Đồng","483 Phạm Văn Đồng, P. 13, Bình Thạnh, TP. HCM",https://down-ws-vn.img.susercontent.com/vn-11134513-7ra0g-m9vjkfc9gh2m82@resize_ss280x175!@crop_w280_h175_cT,Giảm món,https://shopeefood.vn/ho-chi-minh/reviet-juice-nuoc-ep-sinh-to-detox-pham-van-dong,"{'Nước Ép Dưa Hấu - BÁN CHẠY': '24.000đ', 'Nước Ép Cam': '24.000đ', 'Nước Ép Ổi': '32.000đ', 'Nước Ép Thơm': '34.400đ', 'Nước Ép Dưa Lưới - NÊN THỬ': '36.800đ', 'Nước Ép Cóc': '34.400đ', 'Nước Ép Cà Rốt': '36.800đ', 'Nước Ép Táo': '39.200đ', 'Nước Ép Chanh ""YAY"" Đặc Biệt': '32.000đ', 'Nước Ép Chanh ""YAY"" Thơm': '34.400đ', 'Nước Ép Chanh ""YAY"" Ổi - Bán Chạy': '34.400đ', 'Nước Ép Chanh ""YAY"" Táo': '36.800đ', 'Trà Kombucha Nguyên Bản': '36.000đ', 'Trà Kombucha Ổi - NÊN THỬ': '36.000đ'}"
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Phạm Văn Đồng","483 Phạm Văn Đồng, P. 13, Bình Thạnh, TP. HCM",https://down-ws-vn.img.susercontent.com/vn-11134513-7ra0g-m9vjkfc9gh2m82@resize_ss280x175!@crop_w280_h175_cT,Giảm món,https://shopeefood.vn/ho-chi-minh/reviet-juice-nuoc-ep-sinh-to-detox-pham-van-dong,"{'Nước Ép Dưa Hấu - BÁN CHẠY': '24.000đ', 'Nước Ép Cam': '24.000đ', 'Nước Ép Ổi': '32.000đ', 'Nước Ép Thơm': '34.400đ', 'Nước Ép Dưa Lưới - NÊN THỬ': '36.800đ', 'Nước Ép Cóc': '34.400đ', 'Nước Ép Cà Rốt': '36.800đ', 'Nước Ép Táo': '39.200đ', 'Nước Ép Chanh ""YAY"" Đặc Biệt': '32.000đ', 'Nước Ép Chanh ""YAY"" Thơm': '34.400đ', 'Nước Ép Chanh ""YAY"" Ổi - Bán Chạy': '34.400đ', 'Nước Ép Chanh ""YAY"" Táo': '36.800đ', 'Trà Kombucha Nguyên Bản': '36.000đ', 'Trà Kombucha Ổi - NÊN THỬ': '36.000đ'}"
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Phạm Văn Đồng","483 Phạm Văn Đồng, P. 13, Bình Thạnh, TP. HCM",https://down-ws-vn.img.susercontent.com/vn-11134513-7ra0g-m9vjkfc9gh2m82@resize_ss280x175!@crop_w280_h175_cT,Giảm món,https://shopeefood.vn/ho-chi-minh/reviet-juice-nuoc-ep-sinh-to-detox-pham-van-dong,"{'Nước Ép Dưa Hấu - BÁN CHẠY': '24.000đ', 'Nước Ép Cam': '24.000đ', 'Nước Ép Ổi': '32.000đ', 'Nước Ép Thơm': '34.400đ', 'Nước Ép Dưa Lưới - NÊN THỬ': '36.800đ', 'Nước Ép Cóc': '34.400đ', 'Nước Ép Cà Rốt': '36.800đ', 'Nước Ép Táo': '39.200đ', 'Nước Ép Chanh ""YAY"" Đặc Biệt': '32.000đ', 'Nước Ép Chanh ""YAY"" Thơm': '34.400đ', 'Nước Ép Chanh ""YAY"" Ổi - Bán Chạy': '34.400đ', 'Nước Ép Chanh ""YAY"" Táo': '36.800đ', 'Trà Kombucha Nguyên Bản': '36.000đ', 'Trà Kombucha Ổi - NÊN THỬ': '36.000đ'}"
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Phạm Văn Đồng","483 Phạm Văn Đồng, P. 13, Bình Thạnh, TP. HCM",,Giảm món,,{}
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Đường Số 3","C3 Đường Số 3, P. An Khánh, Thành Phố Thủ Đức, TP. HCM",https://down-ws-vn.img.susercontent.com/vn-11134513-7ra0g-m9vjkeoyekuy0d@resize_ss280x175!@crop_w280_h175_cT,Giảm món,https://shopeefood.vn/ho-chi-minh/reviet-juice-nuoc-ep-sinh-to-detox-duong-so-3,"{'Nước Ép Dưa Hấu - BÁN CHẠY': '24.000đ', 'Nước Ép Cam': '24.000đ', 'Nước Ép Ổi': '32.000đ', 'Nước Ép Thơm': '34.400đ', 'Nước Ép Dưa Lưới - NÊN THỬ': '36.800đ', 'Nước Ép Bưởi - BÁN CHẠY': '36.800đ', 'Nước Ép Táo': '39.200đ', 'Nước Ép Chanh ""YAY"" Đặc Biệt': '32.000đ', 'Nước Ép Chanh ""YAY"" Thơm': '34.400đ', 'Nước Ép Chanh ""YAY"" Ổi - Bán Chạy': '34.400đ', 'Nước Ép Chanh ""YAY"" Táo': '36.800đ', 'Trà Kombucha Nguyên Bản': '36.000đ', 'Trà Kombucha Ổi - NÊN THỬ': '36.000đ', 'Trà Kombucha Táo': '39.200đ'}"
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Đường Số 3","C3 Đường Số 3, P. An Khánh, Thành Phố Thủ Đức, TP. HCM",,Giảm món,,{}
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Tân Quý","11B Tân Quý, P. Tân Quý, Tân Phú, TP. HCM",https://down-ws-vn.img.susercontent.com/vn-11134513-7ra0g-m9vjkgclzbk43a@resize_ss280x175!@crop_w280_h175_cT,Giảm món,https://shopeefood.vn/ho-chi-minh/reviet-juice-nuoc-ep-sinh-to-detox-tan-quy,"{'Nước Ép Dưa Hấu - BÁN CHẠY': '24.000đ', 'Nước Ép Cam': '24.000đ', 'Nước Ép Chanh ""YAY"" Đặc Biệt': '32.000đ', 'Nước Ép Ổi': '32.000đ', 'Nước Ép Thơm': '34.400đ', 'Nước Ép Bưởi - BÁN CHẠY': '36.800đ', 'Nước Ép Dưa Lưới - NÊN THỬ': '36.800đ', 'Nước Ép Chanh ""YAY"" Thơm': '34.400đ', 'Nước Ép Chanh ""YAY"" Táo': '36.800đ', 'Trà Kombucha Nguyên Bản': '36.000đ', 'Trà Kombucha Ổi - NÊN THỬ': '36.000đ', 'Trà Kombucha Táo': '39.200đ', 'Trà Kombucha Dâu Tây - BÁN CHẠY': '39.200đ', 'Trà Kombucha Thơm': '39.200đ'}"
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Tân Quý","11B Tân Quý, P. Tân Quý, Tân Phú, TP. HCM",,Giảm món,,{}
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Nguyễn Văn Thương","8 Nguyễn Văn Thương, P. 25, Bình Thạnh, TP. HCM",https://down-ws-vn.img.susercontent.com/vn-11134513-7ra0g-m9vjkexa2g02ba@resize_ss280x175!@crop_w280_h175_cT,Giảm món,https://shopeefood.vn/ho-chi-minh/reviet-juice-nuoc-ep-sinh-to-detox-nguyen-van-thuong,"{'Nước Ép Dưa Hấu - BÁN CHẠY': '24.000đ', 'Nước Ép Cam': '24.000đ', 'Nước Ép Ổi': '32.000đ', 'Nước Ép Thơm': '34.400đ', 'Nước Ép Dưa Lưới - NÊN THỬ': '36.800đ', 'Nước Ép Bưởi - BÁN CHẠY': '36.800đ', 'Nước Ép Táo': '39.200đ', 'Nước Ép Chanh ""YAY"" Đặc Biệt': '32.000đ', 'Nước Ép Chanh ""YAY"" Thơm': '34.400đ', 'Nước Ép Chanh ""YAY"" Ổi - Bán Chạy': '34.400đ', 'Nước Ép Chanh ""YAY"" Táo': '36.800đ', 'Trà Kombucha Nguyên Bản': '36.000đ', 'Trà Kombucha Ổi - NÊN THỬ': '36.000đ', 'Trà Kombucha Táo': '39.200đ'}"
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Nguyễn Văn Thương","8 Nguyễn Văn Thương, P. 25, Bình Thạnh, TP. HCM",,Giảm món,,{}
